TÃªn chiáº¿n dá»ch,TÃªn quáº£ng cÃ¡o,NgÃ y,Sá» tiá»n ÄÃ£ chi tiÃªu (VND),LÆ°á»£t báº¯t Äáº§u cuá»c trÃ² chuyá»n qua tin nháº¯n,NgÆ°á»i tiáº¿p cáº­n,LÆ°á»£t hiá»n thá»,Táº§n suáº¥t,LÆ°á»£t click vÃ o áº£nh,LÆ°á»£t phÃ¡t video trong tá»i thiá»u 3 giÃ¢y,ThruPlay,LÆ°á»£t bÃ y tá» cáº£m xÃºc vá» bÃ i viáº¿t,BÃ¬nh luáº­n vá» bÃ i viáº¿t,LÆ°á»£t chia sáº» bÃ i viáº¿t,LÆ°á»£t lÆ°u bÃ i viáº¿t,LÆ°á»£t thÃ­ch trÃªn Facebook,LÆ°á»£t click vÃ o liÃªn káº¿t,LÆ°á»£t báº¯t Äáº§u bÃ¡o cÃ¡o,LÆ°á»£t káº¿t thÃºc bÃ¡o cÃ¡o
S03 - PD x AKIA - Message,Qrevo C Pro - 260421 - 1390050673140270,2026-04-21,21545,,122,128,"1,04918033",,31,10,,,,,,,2026-04-21,2026-04-21
S03 - PD x MiSmart - Message,Qrevo C Pro - 260420 - 122271201038062219,2026-04-21,41149,,242,370,"1,52892562",,77,13,,,,,,,2026-04-21,2026-04-21
S03 - MD x BKC - Message,Qrevo Edge 5V1 - 260420 - 941496775293230,2026-04-21,2320,,4,5,"1,25",,3,1,,,,,,,2026-04-21,2026-04-21
S03 - MD x BKC - Message,Qrevo C Pro - 260420 - 939879142121660,2026-04-21,17394,,34,43,"1,26470588",,19,4,,,,,,,2026-04-21,2026-04-21
S03 - PD x AKIA - Message,Qrevo 5AE - 260420 - 1390111693134168,2026-04-21,35110,,105,135,"1,28571429",,45,8,1,,,,,,2026-04-21,2026-04-21
S03 - PD x ÄM VÄn KhÃ­ch - Message,Qrevo Edge 2 - 260417 - 1432103148933200,2026-04-21,0,1,0,0,0,,,,,,,,,,2026-04-21,2026-04-21
S03 - PD x ÄM VÄn KhÃ­ch - Message,Qrevo Edge 2 - 260410 - 1426385486171633,2026-04-21,1568,,22,24,"1,09090909",,5,1,,,,,,,2026-04-21,2026-04-21
S03 - PD x MiSmart - Message,Qrevo Edge 2 - 260417 - 122271019208062219,2026-04-21,41511,,261,391,"1,49808429",,101,30,2,,,,,5,2026-04-21,2026-04-21
S03 - PD x KhÃ¡nh Vy Home - Message,Event - 260417 - 122132030565138166,2026-04-21,97178,2,384,513,"1,3359375",,129,31,,,,,,3,2026-04-21,2026-04-21
S03 - PD x AKIA - Message,Qrevo Edge 2 - 260417 - 1389126199899384,2026-04-21,46028,1,190,215,"1,13157895",,71,30,1,1,,,,2,2026-04-21,2026-04-21
S03 - PD x ÄM VÄn KhÃ­ch - Message,Qrevo  5V1 - 260414 - 1429648932511955,2026-04-21,2918,,25,31,"1,24",,1,,,,,,,,2026-04-21,2026-04-21
S03 - MD x BKC - Message,Qrevo 5AE - 260415 - 932817372827837,2026-04-21,20813,1,75,84,"1,12",,29,6,,,,,,2,2026-04-21,2026-04-21
S03 - PD x AKIA - Message,Event - 260413 - 1384172763728061,2026-04-21,102755,3,448,565,"1,26116071",,149,33,1,,,,,10,2026-04-21,2026-04-21
S03 - PD x ÄM VÄn KhÃ­ch - Message,Event - 260410 - 1426968496113332,2026-04-21,0,1,0,0,0,,,,,,,,,,2026-04-21,2026-04-21
S03 - PD x MiSmart - Message,Event - 260410 - 122269977824062219,2026-04-21,92562,2,1264,1711,"1,35363924",,295,68,5,,,,,18,2026-04-21,2026-04-21
S03 - MD x BKC - Message,Event - 260410 - 934098906033017,2026-04-21,102693,4,525,616,"1,17333333",,190,49,,,,1,,13,2026-04-21,2026-04-21
S03 - PD x KhÃ¡nh Vy Home - Message,Event - 260410 - 122131078071138166,2026-04-21,500,,6,6,1,,,,,,,,,,2026-04-21,2026-04-21
S03 - PD x ÄM VÄn KhÃ­ch - Message,Qrevo Edge 2 - 260331 - 1417730863703762,2026-04-21,11986,,143,181,"1,26573427",,23,7,1,,,,,,2026-04-21,2026-04-21
S03 - PD x ÄM VÄn KhÃ­ch - Message,Qrevo Edge 2 - 260328 - 1416292407180941,2026-04-21,7407,,77,104,"1,35064935",,15,8,,,,,,,2026-04-21,2026-04-21
S03 - MD x BKC - Message,Qrevo Edge 2 - 260330 - 924133513696223,2026-04-20,3524,,2,2,1,,,,,,,,,,2026-04-20,2026-04-20
S03 - PD x MiSmart - Message,Qrevo C Pro - 260406 -  122268981068062219,2026-04-20,9936,,94,104,"1,10638298",,62,16,,,,,,2,2026-04-20,2026-04-20
S03 - MD x BKC - Message,Qrevo Edge 5V1 - 260404 - 928041753305399,2026-04-20,53013,6,211,237,"1,12322275",,64,19,1,,,,,9,2026-04-20,2026-04-20
S03 - MD x BKC - Message,Qrevo C Pro - 260404 - 929894273120147,2026-04-20,56939,1,142,173,"1,21830986",,51,18,,,,,,2,2026-04-20,2026-04-20
S03 - MD x BKC - Message,Qrevo Edge 5V1 - 260406 - 928931323216442,2026-04-20,10605,,24,31,"1,29166667",,10,2,,,,,,1,2026-04-20,2026-04-20
S03 - MD x BKC - Message,F25 Ultra - 260406 - 927550426687865,2026-04-20,43353,7,233,260,"1,11587983",,121,40,,,,,,8,2026-04-20,2026-04-20
S03 - MD x BKC - Message,Qrevo Edge 2 - 260406 - 928039836638924,2026-04-20,38706,2,104,117,"1,125",,44,16,1,,,,,5,2026-04-20,2026-04-20
S03 - PD x AKIA - Message,Qrevo Edge 2 - 260406 - 1377389881073016,2026-04-20,2672,,12,13,"1,08333333",,6,2,,,,,,,2026-04-20,2026-04-20
S03 - PD x AKIA - Message,F25 Ultra - 260403 - 1377601111051893,2026-04-20,14117,,89,98,"1,1011236",,54,14,,,,,,2,2026-04-20,2026-04-20
S03 - MD x BKC - Message,Qrevo C Pro - 260404 - 929070199869221,2026-04-20,15031,,65,69,"1,06153846",,31,12,1,,,,,1,2026-04-20,2026-04-20
S03 - PD x AKIA - Message,Qrevo Edge 2 - 260408 - 1381889007289770,2026-04-20,6037,,13,15,"1,15384615",,5,,,,,,,,2026-04-20,2026-04-20
S03 - PD x AKIA - Message,Event - 260408 - 1381017037376967,2026-04-20,2602,,10,11,"1,1",,,,,,,,,,2026-04-20,2026-04-20
S03 - MD x BKC - Message,Event - 260408 - 931311472978427,2026-04-20,898,,2,2,1,,,,,,,,,,2026-04-20,2026-04-20
S03 - PD x ÄM VÄn KhÃ­ch - Message,Qrevo  5V1 - 260408 - 1424797982997050,2026-04-20,717,,9,12,"1,33333333",,2,,,,,,,,2026-04-20,2026-04-20
S03 - PD x ÄM VÄn KhÃ­ch - Message,Event - 260408 - 1423871606423021,2026-04-20,12456,1,237,322,"1,35864979",,,,,,,,,3,2026-04-20,2026-04-20
S03 - MD x BKC - Message,Qrevo Edge 2 - 260408 - 932166802892894,2026-04-20,14198,,36,39,"1,08333333",,13,4,,,,,,,2026-04-20,2026-04-20
S03 - PD x MiSmart - Message,Event - 260409 - 122269826900062219,2026-04-20,191,,8,8,1,,,,,,,,,,2026-04-20,2026-04-20
S03 - PD x KhÃ¡nh Vy Home - Message,Qrevo Edge 2 - 260401 - 122129237211138166,2026-04-20,8660,,30,37,"1,23333333",,8,5,,,,,,,2026-04-20,2026-04-20
S03 - MD x BKC - Message,Qrevo 5AE - 260404 - 929868256456082,2026-04-20,106543,4,476,539,"1,13235294",,188,41,3,1,,,,10,2026-04-20,2026-04-20
S03 - PD x KhÃ¡nh Vy Home - Message,F25 Ultra - 260410 - 122131012725138166,2026-04-20,37291,2,281,292,"1,03914591",,149,42,1,1,,,,6,2026-04-20,2026-04-20
S03 - PD x KhÃ¡nh Vy Home - Message,Qrevo Edge 2 - 260401 - 122129001555138166,2026-04-20,333,,3,3,1,,2,2,,,,,,,2026-04-20,2026-04-20
S03 - PD x MiSmart - Message,Qrevo Edge 2 - 260328 - 122267740838062219,2026-04-20,28999,,211,273,"1,29383886",,49,21,,,,,,1,2026-04-20,2026-04-20
S03 - PD x MiSmart - Message,Qrevo C Pro - 260420 - 122271201038062219,2026-04-20,5451,,46,59,"1,2826087",,13,7,,,,,,,2026-04-20,2026-04-20
S03 - PD x MiSmart - Message,Qrevo Edge 2 - 260327 - 122267988968062219,2026-04-20,5527,,15,20,"1,33333333",,3,1,,,,,,,2026-04-20,2026-04-20
S03 - PD x ÄM VÄn KhÃ­ch - Message,Qrevo Edge 2 - 260331 - 1417730863703762,2026-04-20,29901,1,272,330,"1,21323529",,68,28,2,,,,,6,2026-04-20,2026-04-20
S03 - MD x BKC - Message,Qrevo Edge 2 - 260330 - 925638296879078,2026-04-20,38478,3,233,256,"1,09871245",,66,30,,,,,,7,2026-04-20,2026-04-20
S03 - PD x MiSmart - Message,Qrevo Edge 2 - 260327 - 122267838026062219,2026-04-20,4808,,36,39,"1,08333333",,12,3,,,,,,,2026-04-20,2026-04-20
S03 - PD x KhÃ¡nh Vy Home - Message,Qrevo Edge 2 - 260401 - 122128996677138166,2026-04-20,77,,2,2,1,,,,,,,,,,2026-04-20,2026-04-20
S03 - PD x AKIA - Message,Qrevo Edge 2 - 260402 - 1376725117806159,2026-04-20,11752,,20,23,"1,15",,8,5,,,,,,,2026-04-20,2026-04-20
S03 - MD x BKC - Message,Qrevo Edge 5V1 - 260404 - 928047443304830,2026-04-20,5187,,22,24,"1,09090909",,8,3,,,,,,1,2026-04-20,2026-04-20
S03 - PD x AKIA - Message,F25 Ultra - 260403 - 1377555224389815,2026-04-20,14646,,51,54,"1,05882353",,22,7,,,,,,1,2026-04-20,2026-04-20
S03 - PD x KhÃ¡nh Vy Home - Message,F25 Ultra - 260403 - 122129482053138166,2026-04-20,4931,,22,27,"1,22727273",,5,1,,,,,,,2026-04-20,2026-04-20
S03 - PD x KhÃ¡nh Vy Home - Message,F25 Ultra - 260403 - 122129460603138166,2026-04-20,715,,5,5,1,,1,,,,,,,,2026-04-20,2026-04-20
S03 - PD x KhÃ¡nh Vy Home - Message,F25 Ultra - 260403 - 122129465883138166,2026-04-20,29565,2,107,124,"1,1588785",,49,10,2,,,,,1,2026-04-20,2026-04-20
S03 - PD x KhÃ¡nh Vy Home - Message,Qrevo Edge 2 - 260401 - 122129232777138166,2026-04-20,34455,1,127,149,"1,17322835",,52,20,1,,,,,6,2026-04-20,2026-04-20
S03 - PD x ÄM VÄn KhÃ­ch - Message,Qrevo  5V1 - 260404 - 1420364706773711,2026-04-20,35286,5,461,634,"1,37527115",,167,51,2,1,1,,,5,2026-04-20,2026-04-20
S03 - PD x AKIA - Message,Qrevo 5AE - 260404 - 1378562857622385,2026-04-20,976,,2,2,1,,1,,,,,,,,2026-04-20,2026-04-20
S03 - PD x ÄM VÄn KhÃ­ch - Message,Event - 260409 - 1426342182842630,2026-04-20,97139,1,1086,2528,"2,32780847",5,,,3,,,,1,1,2026-04-20,2026-04-20
S03 - MD x BKC - Message,F25 Ultra - 260406 - 927936053315969,2026-04-20,41028,1,94,111,"1,18085106",,46,18,,,,,,3,2026-04-20,2026-04-20
S03 - MD x BKC - Message,F25 Ultra - 260410 - 933713546071553,2026-04-20,21913,2,95,105,"1,10526316",,54,19,,,,,,4,2026-04-20,2026-04-20
S03 - PD x AKIA - Message,Qrevo Edge 2 - 260420 - 1389993996479271,2026-04-20,7376,,12,13,"1,08333333",,7,2,,,,,,,2026-04-20,2026-04-20
S03 - PD x ÄM VÄn KhÃ­ch - Message,Qrevo 5V1 - 260417 - 1432177282259120,2026-04-20,2439,,59,79,"1,33898305",,11,2,,,,,,,2026-04-20,2026-04-20
S03 - PD x ÄM VÄn KhÃ­ch - Message,Qrevo Edge 2 - 260417 - 1432103148933200,2026-04-20,9073,,141,166,"1,17730496",,43,15,1,,,,,,2026-04-20,2026-04-20
S03 - PD x ÄM VÄn KhÃ­ch - Message,Qrevo  S Pro - 260417 - 1432257468917768,2026-04-20,21893,,248,374,"1,50806452",,74,12,,,,,,2,2026-04-20,2026-04-20
S03 - PD x AKIA - Message,F25 Ultra - 260420 - 1390023573142980,2026-04-20,18375,1,112,118,"1,05357143",,42,7,1,,,,,1,2026-04-20,2026-04-20
S03 - PD x AKIA - Message,F25 Ultra - 260420 - 1391835136295157,2026-04-20,116,,1,1,1,,,,,,,,,,2026-04-20,2026-04-20
S03 - PD x AKIA - Message,Qrevo 5AE - 260420 - 1390111693134168,2026-04-20,18675,,60,83,"1,38333333",,27,4,,,,,,1,2026-04-20,2026-04-20
S03 - PD x AKIA - Message,Qrevo Edge 2 - 260420 - 1391724799639524,2026-04-20,3058,,19,20,"1,05263158",,9,1,,,,,,,2026-04-20,2026-04-20
S03 - PD x KhÃ¡nh Vy Home - Message,F25 Ultra - 260420 - 122132367063138166,2026-04-20,38,,1,1,1,,,,,,,,,,2026-04-20,2026-04-20
S03 - PD x MiSmart - Message,Qrevo C Pro - 260417 - 122271029474062219,2026-04-20,18496,3,159,182,"1,14465409",,59,17,,,,,,4,2026-04-20,2026-04-20
S03 - PD x KhÃ¡nh Vy Home - Message,F25 Ultra - 260420 - 122132089395138166,2026-04-20,967,,3,4,"1,33333333",,3,,,,,,,,2026-04-20,2026-04-20
S03 - PD x KhÃ¡nh Vy Home - Message,Qrevo Edge 2 - 260420 - 122132085315138166,2026-04-20,1553,,3,3,1,,1,,,,,,,,2026-04-20,2026-04-20
S03 - MD x BKC - Message,Qrevo C Pro - 260420 - 939879142121660,2026-04-20,33321,,67,79,"1,17910448",,23,8,1,,,,,1,2026-04-20,2026-04-20
S03 - PD x ÄM VÄn KhÃ­ch - Message,Qrevo Edge 2 - 260410 - 1426385486171633,2026-04-20,74,,1,1,1,,,,,,,,,,2026-04-20,2026-04-20
S03 - MD x BKC - Message,Qrevo Edge 5V1 - 260420 - 941496775293230,2026-04-20,26642,1,44,53,"1,20454545",,20,5,,,,,,1,2026-04-20,2026-04-20
S03 - MD x BKC - Message,F25 Ultra - 260420 - 941534155289492,2026-04-20,1826,,1,1,1,,,,,,,,,,2026-04-20,2026-04-20
S03 - MD x BKC - Message,Qrevo Edge 2 - 260420 - 941441255298782,2026-04-20,2231,,3,3,1,,2,1,,,,,,,2026-04-20,2026-04-20
S03 - PD x MiSmart - Message,Qrevo Edge 2 - 260417 - 122271019208062219,2026-04-20,965,,15,18,"1,2",,4,3,,,,,,,2026-04-20,2026-04-20
S03 - MD x BKC - Message,Qrevo Edge 5V1 - 260420 - 939964142113160,2026-04-20,833,,3,3,1,,,,,,,,,,2026-04-20,2026-04-20
S03 - PD x KhÃ¡nh Vy Home - Message,Event - 260417 - 122132030565138166,2026-04-20,112197,4,579,847,"1,46286701",,231,69,3,,,1,,12,2026-04-20,2026-04-20
S03 - MD x BKC - Message,Qrevo 5AE - 260415 - 932817372827837,2026-04-20,4735,,15,16,"1,06666667",,3,,,,,,,,2026-04-20,2026-04-20
S03 - PD x KhÃ¡nh Vy Home - Message,Qrevo Edge 2 - 260417 - 122131922571138166,2026-04-20,20381,,68,74,"1,08823529",,30,9,,,,,,,2026-04-20,2026-04-20
S03 - PD x KhÃ¡nh Vy Home - Message,Event - 260410 - 122131078071138166,2026-04-20,17877,1,113,125,"1,10619469",,25,7,,,,,,2,2026-04-20,2026-04-20
S03 - MD x BKC - Message,Event - 260410 - 934098906033017,2026-04-20,105414,1,631,724,"1,1473851",,182,31,1,,,,,10,2026-04-20,2026-04-20
S03 - PD x AKIA - Message,Event - 260413 - 1384172763728061,2026-04-20,97662,3,538,688,"1,27881041",,192,52,,,,1,,6,2026-04-20,2026-04-20
S03 - PD x AKIA - Message,Qrevo Edge 2 - 260414 - 1386546643490673,2026-04-20,42,,1,1,1,,1,1,,,,,,,2026-04-20,2026-04-20
S03 - PD x KhÃ¡nh Vy Home - Message,F25 Ultra - 260415 - 122131563771138166,2026-04-20,125,,1,1,1,,,,,,,,,,2026-04-20,2026-04-20
S03 - MD x BKC - Message,Qrevo 5AE - 260415 - 937507605692147,2026-04-20,3275,,1,1,1,,,,,,,,,,2026-04-20,2026-04-20
S03 - PD x MiSmart - Message,Event - 260410 - 122269977824062219,2026-04-20,124127,2,1650,2386,"1,44606061",,487,115,6,,2,,1,26,2026-04-20,2026-04-20
S03 - MD x BKC - Message,Qrevo C Pro - 260415  - 937428099033431,2026-04-20,579,,7,7,1,,,,,,,,,,2026-04-20,2026-04-20
S03 - PD x AKIA - Message,Qrevo Edge 2 - 260417 - 1389126199899384,2026-04-20,23295,1,134,148,"1,10447761",,61,19,,,,,,4,2026-04-20,2026-04-20
S03 - PD x MiSmart - Message,Qrevo Edge 2 - 260414 - 122270464958062219,2026-04-20,4066,,35,41,"1,17142857",,13,9,,,,,,,2026-04-20,2026-04-20
S03 - PD x ÄM VÄn KhÃ­ch - Message,Qrevo  S Pro - 260410 - 1430537229089792,2026-04-20,10069,,61,85,"1,39344262",,12,1,,,,,,1,2026-04-20,2026-04-20
S03 - PD x AKIA - Message,Qrevo 5AE - 260417 - 1382579193887418,2026-04-20,18946,,99,110,"1,11111111",,40,11,,,,,,1,2026-04-20,2026-04-20
S03 - PD x AKIA - Message,Qrevo 5AE - 260417 - 1389202679891736,2026-04-20,4073,,9,11,"1,22222222",,4,,,,,,,,2026-04-20,2026-04-20
S03 - PD x MiSmart - Message,Qrevo C Pro - 260414  - 122270673140062219,2026-04-20,172,,3,3,1,,1,1,,,,,,,2026-04-20,2026-04-20
S03 - MD x BKC - Message,Qrevo Edge 5V1 - 260404 - 928041753305399,2026-04-19,9081,1,78,84,"1,07692308",,19,6,,,,,,1,2026-04-19,2026-04-19
S03 - MD x BKC - Message,F25 Ultra - 260406 - 927550426687865,2026-04-19,94186,5,251,286,"1,13944223",,144,52,1,,,,,17,2026-04-19,2026-04-19
S03 - PD x MiSmart - Message,Qrevo Edge 2 - 260406 - 122268362954062219,2026-04-19,748,,3,4,"1,33333333",,1,,,,,,,,2026-04-19,2026-04-19
S03 - PD x MiSmart - Message,Qrevo Edge 2 - 260406 - 122267997314062219,2026-04-19,3603,,17,19,"1,11764706",,6,2,,,,,,1,2026-04-19,2026-04-19
S03 - PD x ÄM VÄn KhÃ­ch - Message,Qrevo Edge 2 - 260406 - 1417763657033816,2026-04-19,3017,,9,10,"1,11111111",,6,1,,,,,,,2026-04-19,2026-04-19
S03 - PD x ÄM VÄn KhÃ­ch - Message,Qrevo  5V1 - 260408 - 1424797982997050,2026-04-19,5021,,57,63,"1,10526316",,17,5,,1,,,1,,2026-04-19,2026-04-19
S03 - PD x ÄM VÄn KhÃ­ch - Message,Qrevo  5V1 - 260404 - 1421426940000821,2026-04-19,2430,1,40,45,"1,125",,15,6,,,,,,1,2026-04-19,2026-04-19
S03 - PD x ÄM VÄn KhÃ­ch - Message,Qrevo  5V1 - 260404 - 1420356186774563,2026-04-19,21,,1,1,1,,,,,,,,,,2026-04-19,2026-04-19
S03 - PD x KhÃ¡nh Vy Home - Message,Event - 260408 - 122130070011138166,2026-04-19,3877,,7,8,"1,14285714",,,,,,,,,,2026-04-19,2026-04-19
S03 - PD x ÄM VÄn KhÃ­ch - Message,Qrevo Edge 2 - 260408 - 1424752173001631,2026-04-19,3087,,39,43,"1,1025641",,10,2,,,,,,,2026-04-19,2026-04-19
S03 - PD x MiSmart - Message,Qrevo Edge 2 - 260408 - 122269632044062219,2026-04-19,472,,11,11,1,,3,,,,,,,,2026-04-19,2026-04-19
S03 - MD x BKC - Message,Qrevo C Pro - 260404 - 929070199869221,2026-04-19,66,,2,2,1,,,,,,,,,,2026-04-19,2026-04-19
S03 - PD x ÄM VÄn KhÃ­ch - Message,Event - 260408 - 1423871606423021,2026-04-19,56816,,847,1381,"1,63046045",,,,,,,,,2,2026-04-19,2026-04-19
S03 - PD x KhÃ¡nh Vy Home - Message,Qrevo Edge 2 - 260401 - 122129237211138166,2026-04-19,19465,1,69,75,"1,08695652",,22,10,,,,,,3,2026-04-19,2026-04-19
S03 - PD x KhÃ¡nh Vy Home - Message,Qrevo Edge 2 - 260401 - 122129102625138166,2026-04-19,6732,,29,34,"1,17241379",,8,6,,,,,,2,2026-04-19,2026-04-19
S03 - MD x BKC - Message,Qrevo 5AE - 260404 - 929868256456082,2026-04-19,32223,2,141,156,"1,10638298",,62,18,,,,,,5,2026-04-19,2026-04-19
S03 - MD x BKC - Message,Qrevo Edge 5V1 - 260404 - 928047443304830,2026-04-19,69065,2,179,217,"1,2122905",,75,21,,,,,,4,2026-04-19,2026-04-19
S03 - PD x KhÃ¡nh Vy Home - Message,Qrevo 5V1 - 260404 - 122129465715138166,2026-04-19,118,,1,1,1,,,,,,,,,,2026-04-19,2026-04-19
S03 - MD x BKC - Message,F25 Ultra - 260403 - 928090599967181,2026-04-19,1240,,4,4,1,,4,,,,,,,,2026-04-19,2026-04-19
S03 - PD x KhÃ¡nh Vy Home - Message,F25 Ultra - 260403 - 122129465883138166,2026-04-19,52451,2,216,253,"1,1712963",,134,45,2,,,1,,7,2026-04-19,2026-04-19
S03 - PD x AKIA - Message,F25 Ultra - 260403 - 1377555224389815,2026-04-19,53368,3,243,266,"1,09465021",,143,39,,,,,,5,2026-04-19,2026-04-19
S03 - PD x KhÃ¡nh Vy Home - Message,Qrevo Edge 2 - 260401 - 122128996677138166,2026-04-19,18244,1,56,64,"1,14285714",,21,10,,,,,,1,2026-04-19,2026-04-19
S03 - PD x AKIA - Message,Qrevo Edge 2 - 260402 - 1376808357797835,2026-04-19,2828,,24,27,"1,125",,4,2,,,,,,,2026-04-19,2026-04-19
S03 - MD x BKC - Message,Qrevo Edge 2 - 260330 - 925638296879078,2026-04-19,108980,5,577,677,"1,17331023",,161,63,1,,,,1,16,2026-04-19,2026-04-19
S03 - MD x BKC - Message,Qrevo Edge 2 - 260330 - 923463907096517,2026-04-19,184,,4,4,1,,,,,,,,,,2026-04-19,2026-04-19
S03 - PD x MiSmart - Message,Qrevo Edge 2 - 260328 - 122267735834062219,2026-04-19,8988,,74,82,"1,10810811",,16,5,,,,,,,2026-04-19,2026-04-19
S03 - PD x MiSmart - Message,Qrevo Edge 2 - 260328 - 122267740838062219,2026-04-19,20368,1,137,166,"1,21167883",,43,14,,,,,,4,2026-04-19,2026-04-19
S03 - PD x MiSmart - Message,Qrevo Edge 2 - 260327 - 122267454194062219,2026-04-19,3854,,43,48,"1,11627907",,16,7,1,,,,,,2026-04-19,2026-04-19
S03 - PD x ÄM VÄn KhÃ­ch - Message,Qrevo Edge 2 - 260327 - 1415354603941388,2026-04-19,3297,,53,56,"1,05660377",,17,6,,,,,,,2026-04-19,2026-04-19
S03 - PD x KhÃ¡nh Vy Home - Message,Qrevo Edge 2 - 260408 - 122130438081138166,2026-04-19,9520,,45,49,"1,08888889",,12,1,,,,,,,2026-04-19,2026-04-19
S03 - PD x ÄM VÄn KhÃ­ch - Message,Event - 260408 - 1423851099758405,2026-04-19,12818,1,305,402,"1,31803279",,,,1,,,,,1,2026-04-19,2026-04-19
S03 - MD x BKC - Message,F25 Ultra - 260417 - 939155645527343,2026-04-19,34236,2,120,129,"1,075",,64,20,1,,,,,,2026-04-19,2026-04-19
S03 - PD x MiSmart - Message,Event - 260409 - 122269826900062219,2026-04-19,8567,,102,142,"1,39215686",2,,,,,,,,,2026-04-19,2026-04-19
S03 - PD x AKIA - Message,Qrevo 5AE - 260417 - 1382579193887418,2026-04-19,46071,1,207,232,"1,12077295",,62,10,,,,,,2,2026-04-19,2026-04-19
S03 - PD x ÄM VÄn KhÃ­ch - Message,Qrevo  S Pro - 260417 - 1432257468917768,2026-04-19,28284,1,299,510,"1,70568562",,113,23,1,,,,,1,2026-04-19,2026-04-19
S03 - PD x ÄM VÄn KhÃ­ch - Message,Qrevo Edge 2 - 260417 - 1432103148933200,2026-04-19,14672,,166,190,"1,14457831",,52,24,,,,,,1,2026-04-19,2026-04-19
S03 - PD x ÄM VÄn KhÃ­ch - Message,Qrevo 5V1 - 260417 - 1432177282259120,2026-04-19,20224,,285,390,"1,36842105",,51,8,2,,,,,1,2026-04-19,2026-04-19
S03 - PD x MiSmart - Message,Qrevo Edge 2 - 260417 - 122271019208062219,2026-04-19,6087,,27,29,"1,07407407",,8,3,,,,,,1,2026-04-19,2026-04-19
S03 - PD x MiSmart - Message,Qrevo C Pro - 260417 - 122271029474062219,2026-04-19,48093,1,371,499,"1,34501348",,139,25,2,2,,,,5,2026-04-19,2026-04-19
S03 - MD x BKC - Message,Qrevo Edge 5V1 - 260417 - 939080275534880,2026-04-19,26648,1,133,139,"1,04511278",,42,11,,,,,,3,2026-04-19,2026-04-19
S03 - MD x BKC - Message,Qrevo Edge 2 - 260417 - 939008872208687,2026-04-19,4595,,17,17,1,,8,3,,,,,,,2026-04-19,2026-04-19
S03 - PD x KhÃ¡nh Vy Home - Message,F25 Ultra - 260417 - 122131987893138166,2026-04-19,13575,,53,66,"1,24528302",,23,4,1,,,,,,2026-04-19,2026-04-19
S03 - PD x KhÃ¡nh Vy Home - Message,Qrevo 5V1 - 260417 - 122131976589138166,2026-04-19,25030,,134,152,"1,13432836",,40,11,,,,,,1,2026-04-19,2026-04-19
S03 - PD x ÄM VÄn KhÃ­ch - Message,Event - 260409 - 1426342182842630,2026-04-19,16164,,293,376,"1,28327645",,,,,,,,,,2026-04-19,2026-04-19
S03 - PD x KhÃ¡nh Vy Home - Message,Qrevo Edge 2 - 260417 - 122131922571138166,2026-04-19,6510,,38,40,"1,05263158",,18,7,,,,,,1,2026-04-19,2026-04-19
S03 - PD x AKIA - Message,Qrevo Edge 2 - 260417 - 1389126199899384,2026-04-19,40498,1,227,248,"1,09251101",,108,43,1,,,,,3,2026-04-19,2026-04-19
S03 - PD x AKIA - Message,Qrevo 5AE - 260417 - 1389202679891736,2026-04-19,5432,,22,25,"1,13636364",,8,2,,,,,,,2026-04-19,2026-04-19
S03 - PD x KhÃ¡nh Vy Home - Message,Event - 260417 - 122132030565138166,2026-04-19,88655,1,359,491,"1,36768802",,145,36,,,,,,9,2026-04-19,2026-04-19
S03 - PD x ÄM VÄn KhÃ­ch - Message,Qrevo Edge 2 - 260415 - 1429582245851957,2026-04-19,6217,,62,73,"1,17741935",,13,7,2,,,,,,2026-04-19,2026-04-19
S03 - PD x MiSmart - Message,Event - 260410 - 122269977824062219,2026-04-19,102107,3,1330,1815,"1,36466165",,386,88,2,1,,,1,28,2026-04-19,2026-04-19
S03 - PD x AKIA - Message,Qrevo Edge 2 - 260406 - 1377415874403750,2026-04-19,7,,1,1,1,,,,,,,,,,2026-04-19,2026-04-19
S03 - PD x KhÃ¡nh Vy Home - Message,F25 Ultra - 260410 - 122131012725138166,2026-04-19,2040,,11,11,1,,9,2,,,,,,,2026-04-19,2026-04-19
S03 - MD x BKC - Message,Qrevo C Pro - 260415  - 937428099033431,2026-04-19,105852,3,281,355,"1,2633452",,110,36,1,,,,,8,2026-04-19,2026-04-19
S03 - MD x BKC - Message,Qrevo Edge 5V1 - 260410 - 933659102743664,2026-04-19,1347,,2,2,1,,2,1,,,,,,1,2026-04-19,2026-04-19
S03 - MD x BKC - Message,Event - 260410 - 934098906033017,2026-04-19,118356,1,661,772,"1,16792738",,208,50,,,,,,11,2026-04-19,2026-04-19
S03 - MD x BKC - Message,Qrevo Edge 2 - 260410 - 933622292747345,2026-04-19,226,,2,2,1,,1,,,,,,,,2026-04-19,2026-04-19
S03 - PD x ÄM VÄn KhÃ­ch - Message,Event - 260410 - 1426968496113332,2026-04-19,0,1,0,0,0,,,,,,,,,,2026-04-19,2026-04-19
S03 - PD x AKIA - Message,Event - 260413 - 1384172763728061,2026-04-19,117455,2,551,743,"1,34845735",,200,54,1,1,,,1,2,2026-04-19,2026-04-19
